conceptType,conceptUri,broaderType,broaderUri
SkillGroup,http://data.europa.eu/esco/isced-f/0314,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/0319,SkillGroup,http://data.europa.eu/esco/isced-f/031
SkillGroup,http://data.europa.eu/esco/isced-f/032,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0320,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0321,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0322,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/0329,SkillGroup,http://data.europa.eu/esco/isced-f/032
SkillGroup,http://data.europa.eu/esco/isced-f/038,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0388,SkillGroup,http://data.europa.eu/esco/isced-f/038
SkillGroup,http://data.europa.eu/esco/isced-f/039,SkillGroup,http://data.europa.eu/esco/isced-f/03
SkillGroup,http://data.europa.eu/esco/isced-f/0399,SkillGroup,http://data.europa.eu/esco/isced-f/039
SkillGroup,http://data.europa.eu/esco/isced-f/04,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/040,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0400,SkillGroup,http://data.europa.eu/esco/isced-f/040
SkillGroup,http://data.europa.eu/esco/isced-f/041,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0410,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0411,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0412,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0413,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0414,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0415,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0416,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0417,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/0419,SkillGroup,http://data.europa.eu/esco/isced-f/041
SkillGroup,http://data.europa.eu/esco/isced-f/042,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0421,SkillGroup,http://data.europa.eu/esco/isced-f/042
SkillGroup,http://data.europa.eu/esco/isced-f/048,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0488,SkillGroup,http://data.europa.eu/esco/isced-f/048
SkillGroup,http://data.europa.eu/esco/isced-f/049,SkillGroup,http://data.europa.eu/esco/isced-f/04
SkillGroup,http://data.europa.eu/esco/isced-f/0499,SkillGroup,http://data.europa.eu/esco/isced-f/049
SkillGroup,http://data.europa.eu/esco/isced-f/05,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/050,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0500,SkillGroup,http://data.europa.eu/esco/isced-f/050
SkillGroup,http://data.europa.eu/esco/isced-f/051,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0510,SkillGroup,http://data.europa.eu/esco/isced-f/051
SkillGroup,http://data.europa.eu/esco/isced-f/0511,SkillGroup,http://data.europa.eu/esco/isced-f/051
SkillGroup,http://data.europa.eu/esco/isced-f/0512,SkillGroup,http://data.europa.eu/esco/isced-f/051
SkillGroup,http://data.europa.eu/esco/isced-f/0519,SkillGroup,http://data.europa.eu/esco/isced-f/051
SkillGroup,http://data.europa.eu/esco/isced-f/052,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0520,SkillGroup,http://data.europa.eu/esco/isced-f/052
SkillGroup,http://data.europa.eu/esco/isced-f/0521,SkillGroup,http://data.europa.eu/esco/isced-f/052
SkillGroup,http://data.europa.eu/esco/isced-f/0522,SkillGroup,http://data.europa.eu/esco/isced-f/052
SkillGroup,http://data.europa.eu/esco/isced-f/0529,SkillGroup,http://data.europa.eu/esco/isced-f/052
SkillGroup,http://data.europa.eu/esco/isced-f/053,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0530,SkillGroup,http://data.europa.eu/esco/isced-f/053
SkillGroup,http://data.europa.eu/esco/isced-f/0531,SkillGroup,http://data.europa.eu/esco/isced-f/053
SkillGroup,http://data.europa.eu/esco/isced-f/0532,SkillGroup,http://data.europa.eu/esco/isced-f/053
SkillGroup,http://data.europa.eu/esco/isced-f/0533,SkillGroup,http://data.europa.eu/esco/isced-f/053
SkillGroup,http://data.europa.eu/esco/isced-f/0539,SkillGroup,http://data.europa.eu/esco/isced-f/053
SkillGroup,http://data.europa.eu/esco/isced-f/054,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0540,SkillGroup,http://data.europa.eu/esco/isced-f/054
SkillGroup,http://data.europa.eu/esco/isced-f/0541,SkillGroup,http://data.europa.eu/esco/isced-f/054
SkillGroup,http://data.europa.eu/esco/isced-f/0542,SkillGroup,http://data.europa.eu/esco/isced-f/054
SkillGroup,http://data.europa.eu/esco/isced-f/058,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0588,SkillGroup,http://data.europa.eu/esco/isced-f/058
SkillGroup,http://data.europa.eu/esco/isced-f/059,SkillGroup,http://data.europa.eu/esco/isced-f/05
SkillGroup,http://data.europa.eu/esco/isced-f/0599,SkillGroup,http://data.europa.eu/esco/isced-f/059
SkillGroup,http://data.europa.eu/esco/isced-f/06,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/061,SkillGroup,http://data.europa.eu/esco/isced-f/06
SkillGroup,http://data.europa.eu/esco/isced-f/0610,SkillGroup,http://data.europa.eu/esco/isced-f/061
SkillGroup,http://data.europa.eu/esco/isced-f/0611,SkillGroup,http://data.europa.eu/esco/isced-f/061
SkillGroup,http://data.europa.eu/esco/isced-f/0612,SkillGroup,http://data.europa.eu/esco/isced-f/061
SkillGroup,http://data.europa.eu/esco/isced-f/0613,SkillGroup,http://data.europa.eu/esco/isced-f/061
SkillGroup,http://data.europa.eu/esco/isced-f/0619,SkillGroup,http://data.europa.eu/esco/isced-f/061
SkillGroup,http://data.europa.eu/esco/isced-f/068,SkillGroup,http://data.europa.eu/esco/isced-f/06
SkillGroup,http://data.europa.eu/esco/isced-f/0688,SkillGroup,http://data.europa.eu/esco/isced-f/068
SkillGroup,http://data.europa.eu/esco/isced-f/07,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/070,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0700,SkillGroup,http://data.europa.eu/esco/isced-f/070
SkillGroup,http://data.europa.eu/esco/isced-f/071,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0710,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0711,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0712,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0713,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0714,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0715,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0716,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/0719,SkillGroup,http://data.europa.eu/esco/isced-f/071
SkillGroup,http://data.europa.eu/esco/isced-f/072,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0720,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/0721,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/0722,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/0723,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/0724,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/0729,SkillGroup,http://data.europa.eu/esco/isced-f/072
SkillGroup,http://data.europa.eu/esco/isced-f/073,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0730,SkillGroup,http://data.europa.eu/esco/isced-f/073
SkillGroup,http://data.europa.eu/esco/isced-f/0731,SkillGroup,http://data.europa.eu/esco/isced-f/073
SkillGroup,http://data.europa.eu/esco/isced-f/0732,SkillGroup,http://data.europa.eu/esco/isced-f/073
SkillGroup,http://data.europa.eu/esco/isced-f/078,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0788,SkillGroup,http://data.europa.eu/esco/isced-f/078
SkillGroup,http://data.europa.eu/esco/isced-f/079,SkillGroup,http://data.europa.eu/esco/isced-f/07
SkillGroup,http://data.europa.eu/esco/isced-f/0799,SkillGroup,http://data.europa.eu/esco/isced-f/079
SkillGroup,http://data.europa.eu/esco/isced-f/08,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/080,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0800,SkillGroup,http://data.europa.eu/esco/isced-f/080
SkillGroup,http://data.europa.eu/esco/isced-f/081,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0810,SkillGroup,http://data.europa.eu/esco/isced-f/081
SkillGroup,http://data.europa.eu/esco/isced-f/0811,SkillGroup,http://data.europa.eu/esco/isced-f/081
SkillGroup,http://data.europa.eu/esco/isced-f/0812,SkillGroup,http://data.europa.eu/esco/isced-f/081
SkillGroup,http://data.europa.eu/esco/isced-f/0819,SkillGroup,http://data.europa.eu/esco/isced-f/081
SkillGroup,http://data.europa.eu/esco/isced-f/082,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0821,SkillGroup,http://data.europa.eu/esco/isced-f/082
SkillGroup,http://data.europa.eu/esco/isced-f/083,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0831,SkillGroup,http://data.europa.eu/esco/isced-f/083
SkillGroup,http://data.europa.eu/esco/isced-f/084,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0841,SkillGroup,http://data.europa.eu/esco/isced-f/084
SkillGroup,http://data.europa.eu/esco/isced-f/088,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0888,SkillGroup,http://data.europa.eu/esco/isced-f/088
SkillGroup,http://data.europa.eu/esco/isced-f/089,SkillGroup,http://data.europa.eu/esco/isced-f/08
SkillGroup,http://data.europa.eu/esco/isced-f/0899,SkillGroup,http://data.europa.eu/esco/isced-f/089
SkillGroup,http://data.europa.eu/esco/isced-f/09,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/090,SkillGroup,http://data.europa.eu/esco/isced-f/09
SkillGroup,http://data.europa.eu/esco/isced-f/0900,SkillGroup,http://data.europa.eu/esco/isced-f/090
SkillGroup,http://data.europa.eu/esco/isced-f/091,SkillGroup,http://data.europa.eu/esco/isced-f/09
SkillGroup,http://data.europa.eu/esco/isced-f/0910,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0911,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0912,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0913,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0914,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0915,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0916,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0917,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/0919,SkillGroup,http://data.europa.eu/esco/isced-f/091
SkillGroup,http://data.europa.eu/esco/isced-f/092,SkillGroup,http://data.europa.eu/esco/isced-f/09
SkillGroup,http://data.europa.eu/esco/isced-f/0920,SkillGroup,http://data.europa.eu/esco/isced-f/092
SkillGroup,http://data.europa.eu/esco/isced-f/0921,SkillGroup,http://data.europa.eu/esco/isced-f/092
SkillGroup,http://data.europa.eu/esco/isced-f/0922,SkillGroup,http://data.europa.eu/esco/isced-f/092
SkillGroup,http://data.europa.eu/esco/isced-f/0923,SkillGroup,http://data.europa.eu/esco/isced-f/092
SkillGroup,http://data.europa.eu/esco/isced-f/0929,SkillGroup,http://data.europa.eu/esco/isced-f/092
SkillGroup,http://data.europa.eu/esco/isced-f/098,SkillGroup,http://data.europa.eu/esco/isced-f/09
SkillGroup,http://data.europa.eu/esco/isced-f/0988,SkillGroup,http://data.europa.eu/esco/isced-f/098
SkillGroup,http://data.europa.eu/esco/isced-f/099,SkillGroup,http://data.europa.eu/esco/isced-f/09
SkillGroup,http://data.europa.eu/esco/isced-f/0999,SkillGroup,http://data.europa.eu/esco/isced-f/099
SkillGroup,http://data.europa.eu/esco/isced-f/10,SkillGroup,http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22
SkillGroup,http://data.europa.eu/esco/isced-f/100,SkillGroup,http://data.europa.eu/esco/isced-f/10
