keyword,rapidfuzz,miniLM,multiLM,best_model
neuen,100.0,0.5822587609291077,0.6860272884368896,rapidfuzz
java,50.0,0.7241740822792053,0.9128631949424744,multiLM
eines,100.0,0.5761168003082275,0.9188573956489563,rapidfuzz
einem,100.0,0.5388860106468201,0.9322749972343445,rapidfuzz
sind,100.0,0.4452589154243469,0.9191704392433167,rapidfuzz
startups,53.84615384615385,0.38146132230758667,0.6160535216331482,multiLM
startup,53.333333333333336,0.39613115787506104,0.6162895560264587,multiLM
teams,54.54545454545455,0.6153616309165955,0.8943697810173035,multiLM
sowie,100.0,0.5816015005111694,0.9004077911376953,rapidfuzz
unsere,62.5,0.5897809863090515,0.7611804008483887,multiLM
microservices,59.25925925925926,0.44229763746261597,0.752207338809967,multiLM
arbeiten,100.0,0.7607579231262207,0.8870854377746582,rapidfuzz
dich,66.66666666666666,0.6816191673278809,0.8478400707244873,multiLM
junior,47.05882352941177,0.3637344241142273,0.6695441007614136,multiLM
fintech,58.8235294117647,0.5916465520858765,0.7379491925239563,multiLM
denios,66.66666666666666,0.4793970584869385,0.8403282761573792,multiLM
unserer,58.8235294117647,0.5452080965042114,0.7724080681800842,multiLM
sowie,100.0,0.5816015005111694,0.9004077911376953,rapidfuzz
direct,70.58823529411765,0.3733789920806885,0.6029788255691528,rapidfuzz
gmbh,40.0,0.518937349319458,0.7725186944007874,multiLM
manager,66.66666666666666,0.7261225581169128,0.7758672833442688,multiLM
ecommerce,66.66666666666666,0.4900892972946167,0.7453873157501221,multiLM
hast,54.54545454545455,0.46829408407211304,0.8334249258041382,multiLM
oeynhausen,58.8235294117647,0.516437292098999,0.624714732170105,multiLM
entwickeln,100.0,0.8212225437164307,0.8750700950622559,rapidfuzz
umweltschutz,69.56521739130434,0.8106276988983154,0.9086229801177979,multiLM
unternehmen,72.0,0.7962695956230164,0.8782243132591248,multiLM
einen,100.0,0.5746517181396484,0.9030106067657471,rapidfuzz
aufgaben,58.8235294117647,0.6969209313392639,0.9507251977920532,multiLM
unserem,58.8235294117647,0.5818947553634644,0.8087274432182312,multiLM
