keyword,rapidfuzz,miniLM,multiLM,best_model
cornelsen,62.5,0.6255190968513489,0.9072583317756653,multiLM
design,80.0,0.7305889129638672,0.8877723217010498,multiLM
designerin,63.1578947368421,0.5696147680282593,0.8609306216239929,multiLM
dein,61.53846153846154,0.6727120876312256,0.8822494745254517,multiLM
team,47.05882352941177,0.6086004972457886,0.9217929840087891,multiLM
uxui,47.05882352941177,0.43775326013565063,0.8517721891403198,multiLM
verlag,66.66666666666666,0.8461527228355408,0.9613347053527832,multiLM
berlin,60.0,0.5899566411972046,0.6853301525115967,multiLM
sowie,100.0,0.5816015005111694,0.9004077911376953,rapidfuzz
einen,100.0,0.5746517181396484,0.9030106067657471,rapidfuzz
einem,100.0,0.5388860106468201,0.9322749972343445,rapidfuzz
teams,54.54545454545455,0.6153616309165955,0.8943697810173035,multiLM
user,66.66666666666666,0.42216551303863525,0.685107946395874,multiLM
deiner,58.8235294117647,0.5871645212173462,0.7623016834259033,multiLM
unsere,62.5,0.5897809863090515,0.7611804008483887,multiLM
online,100.0,0.5487455129623413,0.8286733627319336,rapidfuzz
mnet,60.0,0.4614114761352539,0.6805676817893982,multiLM
